official_progress,mean_delta,median_delta,stddev,20260818T070904.964515Z-89553b85,20260818T071108.082912Z-eb0d8a30,20260818T071510.985769Z-50987091,20260818T071710.794473Z-4ce4acd1,20260818T072109.029370Z-4c725de0
7420.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7422.0,-0.14500000000002727,-0.14999999999997726,0.025920551691688158,-0.16250000000007958,-0.11250000000001137,-0.125,-0.1750000000000682,-0.14999999999997726
7424.0,-0.15,-0.14999999999997726,0.025000000000005684,-0.17500000000001137,-0.12500000000005684,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7426.0,-0.15000000000002273,-0.14999999999997726,0.025000000000034106,-0.1750000000000682,-0.125,-0.125,-0.1750000000000682,-0.14999999999997726
7428.0,-0.14500000000000454,-0.12500000000005684,0.027386127875264534,-0.17500000000001137,-0.12500000000005684,-0.12499999999994316,-0.17500000000001137,-0.125
7430.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7432.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7434.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7436.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7438.0,-0.12499999999996589,-0.12499999999994316,0.025000000000005684,-0.14999999999997726,-0.10000000000002274,-0.09999999999990905,-0.14999999999997726,-0.12499999999994316
7440.0,-0.15000000000002273,-0.14999999999997726,0.025000000000034106,-0.1750000000000682,-0.125,-0.125,-0.1750000000000682,-0.14999999999997726
7442.0,-0.15,-0.14999999999997726,0.025000000000005684,-0.17500000000001137,-0.12500000000005684,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7444.0,-0.15000000000002273,-0.14999999999997726,0.025000000000034106,-0.1750000000000682,-0.125,-0.125,-0.1750000000000682,-0.14999999999997726
7446.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7448.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7450.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7452.0,-0.1449999999999818,-0.125,0.027386127875285292,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.12499999999994316
7454.0,-0.15000000000002273,-0.14999999999997726,0.025000000000034106,-0.1750000000000682,-0.125,-0.125,-0.1750000000000682,-0.14999999999997726
7456.0,-0.12500000000001138,-0.125,0.025000000000019895,-0.1500000000000341,-0.10000000000002274,-0.0999999999999659,-0.1500000000000341,-0.125
7458.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7460.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7462.0,-0.15,-0.14999999999997726,0.025000000000005684,-0.17500000000001137,-0.12500000000005684,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7464.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7466.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7468.0,-0.14500000000000454,-0.12500000000005684,0.027386127875264534,-0.17500000000001137,-0.12500000000005684,-0.12499999999994316,-0.17500000000001137,-0.125
7470.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7472.0,-0.15000000000002273,-0.14999999999997726,0.025000000000034106,-0.1750000000000682,-0.125,-0.125,-0.1750000000000682,-0.14999999999997726
7474.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
7476.0,-0.1449999999999818,-0.125,0.027386127875285292,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.12499999999994316
7478.0,-0.14999999999998864,-0.14999999999997726,0.025000000000019895,-0.17500000000001137,-0.125,-0.12499999999994316,-0.17500000000001137,-0.14999999999997726
7480.0,-0.14500000000003865,-0.12500000000005684,0.027386127875285292,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.125
7482.0,-0.14500000000003865,-0.12500000000005684,0.027386127875285292,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.125
7484.0,-0.1500000000000341,-0.14999999999997726,0.025000000000019895,-0.1750000000000682,-0.12500000000005684,-0.125,-0.1750000000000682,-0.14999999999997726
