distance_m,combined_delta_s,wp1232_delta_s,wp2501_delta_s,expected_additive_delta_s,interaction_s,interaction_standard_error_s
148.0,-3.552713678800501e-16,2.842170943040401e-15,0.0,2.842170943040401e-15,-3.197442310920451e-15,3.1776437161565094e-15
150.0,-1.4210854715202005e-15,0.010000000000002274,-7.105427357601002e-16,0.010000000000001563,-0.010000000000002984,0.0100000000000005
152.0,-1.4210854715202005e-15,0.010000000000002274,-7.105427357601002e-16,0.010000000000001563,-0.010000000000002984,0.0100000000000005
154.0,-3.552713678800501e-16,0.010000000000002984,0.0,0.010000000000002984,-0.01000000000000334,0.01000000000000032
156.0,-3.552713678800501e-16,2.842170943040401e-15,0.0,2.842170943040401e-15,-3.197442310920451e-15,3.1776437161565094e-15
158.0,-1.4210854715202005e-15,0.010000000000002274,-7.105427357601002e-16,0.010000000000001563,-0.010000000000002984,0.0100000000000005
160.0,-3.552713678800501e-16,0.010000000000002984,0.0,0.010000000000002984,-0.01000000000000334,0.01000000000000032
162.0,-3.552713678800501e-16,0.010000000000002984,0.0,0.010000000000002984,-0.01000000000000334,0.01000000000000032
164.0,-1.4210854715202005e-15,0.010000000000002274,-7.105427357601002e-16,0.010000000000001563,-0.010000000000002984,0.0100000000000005
166.0,-1.4210854715202005e-15,2.1316282072803005e-15,-7.105427357601002e-16,1.4210854715202003e-15,-2.842170943040401e-15,3.700624989733054e-15
168.0,-3.552713678800501e-16,0.010000000000002984,0.0,0.010000000000002984,-0.01000000000000334,0.01000000000000032
170.0,-1.4210854715202005e-15,0.010000000000002274,-7.105427357601002e-16,0.010000000000001563,-0.010000000000002984,0.0100000000000005
172.0,-3.552713678800501e-16,0.010000000000002984,0.0,0.010000000000002984,-0.01000000000000334,0.01000000000000032
174.0,-1.4210854715202005e-15,0.010000000000002274,-7.105427357601002e-16,0.010000000000001563,-0.010000000000002984,0.0100000000000005
176.0,-1.4210854715202005e-15,2.1316282072803005e-15,-7.105427357601002e-16,1.4210854715202003e-15,-2.842170943040401e-15,3.700624989733054e-15
178.0,-1.4210854715202005e-15,0.010000000000002274,-7.105427357601002e-16,0.010000000000001563,-0.010000000000002984,0.0100000000000005
180.0,-1.4210854715202005e-15,0.010000000000002274,-7.105427357601002e-16,0.010000000000001563,-0.010000000000002984,0.0100000000000005
182.0,-1.4210854715202005e-15,0.010000000000002274,-7.105427357601002e-16,0.010000000000001563,-0.010000000000002984,0.0100000000000005
184.0,-1.4210854715202005e-15,0.010000000000002274,-7.105427357601002e-16,0.010000000000001563,-0.010000000000002984,0.0100000000000005
186.0,-1.4210854715202005e-15,0.010000000000002274,-7.105427357601002e-16,0.010000000000001563,-0.010000000000002984,0.0100000000000005
188.0,-1.7763568394002505e-15,0.010000000000002628,-3.552713678800501e-16,0.010000000000002273,-0.010000000000004049,0.010000000000000408
190.0,-1.7763568394002505e-15,2.1316282072803005e-15,-7.105427357601002e-16,1.4210854715202003e-15,-3.1974423109204505e-15,3.127598955227563e-15
192.0,-1.7763568394002505e-15,2.1316282072803005e-15,-7.105427357601002e-16,1.4210854715202003e-15,-3.1974423109204505e-15,3.127598955227563e-15
194.0,-7.105427357601002e-16,0.010000000000002628,-7.105427357601002e-16,0.010000000000001917,-0.010000000000002628,0.010000000000000408
196.0,-3.552713678800501e-16,0.010000000000001919,-1.4210854715202005e-15,0.010000000000000498,-0.010000000000000854,0.010000000000000587
198.0,-3.552713678800501e-16,0.010000000000002274,-1.0658141036401502e-15,0.01000000000000121,-0.010000000000001565,0.0100000000000005
200.0,-3.552713678800501e-16,0.010000000000002274,-1.0658141036401502e-15,0.01000000000000121,-0.010000000000001565,0.0100000000000005
202.0,-7.105427357601002e-16,0.010000000000002274,-1.0658141036401502e-15,0.01000000000000121,-0.01000000000000192,0.0100000000000005
204.0,-7.105427357601002e-16,0.010000000000002274,-1.0658141036401502e-15,0.01000000000000121,-0.01000000000000192,0.0100000000000005
206.0,-7.105427357601002e-16,0.010000000000002274,-1.0658141036401502e-15,0.01000000000000121,-0.01000000000000192,0.0100000000000005
208.0,-1.0658141036401502e-15,2.1316282072803005e-15,-1.0658141036401502e-15,1.0658141036401502e-15,-2.1316282072803005e-15,3.056159864571351e-15
210.0,-1.4210854715202005e-15,2.1316282072803005e-15,-1.0658141036401502e-15,1.0658141036401502e-15,-2.4868995751603505e-15,3.1477123390767318e-15
212.0,-1.4210854715202005e-15,2.1316282072803005e-15,-1.0658141036401502e-15,1.0658141036401502e-15,-2.4868995751603505e-15,3.1477123390767318e-15
214.0,-1.4210854715202005e-15,0.010000000000002274,-1.0658141036401502e-15,0.01000000000000121,-0.01000000000000263,0.0100000000000005
216.0,-1.4210854715202005e-15,0.010000000000002274,-1.0658141036401502e-15,0.01000000000000121,-0.01000000000000263,0.0100000000000005
218.0,-1.4210854715202005e-15,0.010000000000002274,-1.4210854715202005e-15,0.010000000000000854,-0.010000000000002274,0.0100000000000005
220.0,-1.4210854715202005e-15,0.010000000000002274,-1.4210854715202005e-15,0.010000000000000854,-0.010000000000002274,0.0100000000000005
222.0,-1.4210854715202005e-15,0.010000000000002274,-1.4210854715202005e-15,0.010000000000000854,-0.010000000000002274,0.0100000000000005
